augmented_constrast_stretching_1,augmented_log_1,augmented_exponencial_1,augmented_laplaciano_1,augmented_media_1,normalized_constrast_stretching_1,normalized_log_1,normalized_exponencial_1,normalized_laplaciano_1,normalized_media_1,originalGray_1,augmented_constrast_stretching_2,augmented_log_2,augmented_exponencial_2,augmented_laplaciano_2,augmented_media_2,normalized_constrast_stretching_2,normalized_log_2,normalized_exponencial_2,normalized_laplaciano_2,normalized_media_2,originalGray_2,augmented_constrast_stretching_3,augmented_log_3,augmented_exponencial_3,augmented_laplaciano_3,augmented_media_3,normalized_constrast_stretching_3,normalized_log_3,normalized_exponencial_3,normalized_laplaciano_3,normalized_media_3,originalGray_3,augmented_constrast_stretching_4,augmented_log_4,augmented_exponencial_4,augmented_laplaciano_4,augmented_media_4,normalized_constrast_stretching_4,normalized_log_4,normalized_exponencial_4,normalized_laplaciano_4,normalized_media_4,originalGray_4
62744,188,28,15923,169228,56435,57030,65288,33114,63108,128235,13179,114875,0,129,68090,20833,73234,50524,15486,65628,64612,25237,4383,0,2782,63978,40408,60745,69191,38458,63062,72150,21823,2577,0,2297,46706,39970,76901,77467,34786,66837,55354
62102,165,10,15842,168691,72022,64265,63210,33083,77612,128356,13916,37181,0,129,91951,39045,85328,74573,15329,69151,102734,25861,4223,0,2631,69727,59917,60774,78567,37213,77233,86827,22351,3090,0,2125,53042,60039,68471,114378,34791,83162,65176
61037,209,3,15554,167062,47000,44663,50306,32764,54738,125222,11062,17155,0,121,36575,10536,33791,34868,14019,48150,26193,22011,3474,0,2517,45744,36227,50694,58373,36912,52707,49292,19029,2668,0,2166,38849,35022,48238,54390,34893,55986,43042
60464,206,2,15382,165609,55564,44761,62473,32441,62621,123749,45548,21976,0,133,55429,14227,56117,55322,14208,58852,59909,39019,4292,0,2464,49947,43600,87765,79739,35871,54019,65443,27670,2868,0,2086,39921,38073,50682,48909,34739,59278,50081
59358,301,0,14731,163522,56822,52750,72366,32540,58661,123031,11099,30828,0,129,57637,15571,56226,91117,13976,54525,56877,21316,7056,0,2417,53492,39801,65801,57978,34923,67469,62569,19378,3736,0,1995,43630,43874,59981,51333,35065,60032,49947
59305,351,0,14776,161303,53396,55609,57744,32320,61963,121469,10584,140508,0,119,51508,17867,57465,33525,14397,67396,53612,20248,19389,0,2361,54811,39806,63030,70186,34079,60663,68954,17544,12069,0,1892,41801,46013,68309,58056,36074,58829,51840
60442,289,0,14362,159549,64917,86039,63180,32174,63128,119653,42960,27247,0,105,52022,24841,55251,50919,14313,53130,52764,37313,6830,0,2156,55453,42161,60162,59802,33100,66272,66476,28653,4350,0,1886,43331,36438,45466,53857,36517,62328,50787
59940,310,0,14144,155495,58173,48398,66822,31967,62328,118377,12509,32791,0,93,47986,21205,73115,70319,14360,65890,49574,24473,6436,0,2224,52653,49931,62897,55419,32781,61782,63146,19877,4554,0,1760,42319,43259,60298,61943,36693,63325,50373
60731,380,0,13981,150121,57508,98584,61425,31556,72321,116712,40705,24737,0,89,48214,34756,54096,52657,14764,68905,47552,44153,7394,0,2103,53460,44766,64875,63842,32003,68056,62070,30610,4928,0,1712,44969,48228,81890,65735,37244,67900,51138
60610,389,0,13595,144231,72962,46421,74162,31696,70818,115561,42457,142497,0,99,63856,17684,118229,95914,14085,92886,70790,44422,21712,0,2028,64908,49448,72621,76009,31696,70161,79694,32581,16897,0,1640,57284,52575,87429,52344,37475,74530,68195
57220,339,0,13488,135776,46801,47927,52137,31337,54456,109116,11227,41123,0,100,25859,11211,39922,40395,14276,55016,19244,24520,9653,0,1915,40120,34233,48131,47275,30992,54194,40669,19889,6519,0,1563,36418,34569,49303,43239,38499,56122,36841
57511,477,0,13348,129029,53459,69372,59806,31165,59100,108234,10287,28450,0,96,35740,20461,61775,77727,14669,65575,36815,20704,7498,0,1825,46408,48112,54769,49233,30620,59629,57803,17926,5603,0,1529,42024,45187,55194,68162,38869,60773,49945
57888,455,0,13098,123068,52059,64505,81745,30795,56532,106269,36753,30779,0,109,39235,22016,47599,60362,15773,56794,40757,37469,8832,0,1732,46884,39749,60327,56088,30690,63732,49207,28209,6820,0,1508,44937,36537,46012,79022,39181,59855,47787
56722,496,0,12997,117996,53687,60302,67212,30873,66753,105522,10339,43001,0,76,40423,28253,61135,51183,15549,54018,40798,20512,11108,0,1736,49932,49845,60072,63187,30637,62703,60019,18272,10520,0,1407,44669,37407,72563,64952,39767,64988,52059
58041,682,0,12468,110555,73902,48679,52908,31065,62190,101972,36821,144355,0,79,37328,20806,69966,62868,14430,58880,37191,40126,27029,0,1629,47870,38391,58226,63068,30726,60381,52435,31599,26333,0,1355,43971,40471,60460,49154,39833,62882,48880
57208,571,0,12363,105682,54727,71469,58109,30376,64602,100842,11881,40920,0,72,30482,21909,57919,49897,15351,51810,31531,23975,11908,0,1618,49655,46482,67118,70535,30729,65764,56322,21809,9679,0,1273,41203,52952,62345,59090,40695,69933,46232
58913,684,0,12199,101019,62513,91961,68332,30535,66985,99137,60574,46397,0,78,30844,14974,61487,63413,15690,68382,30656,59417,13366,0,1403,50586,43804,80550,69777,30809,67401,54404,48506,11608,0,1291,41327,51493,77485,59122,41038,63731,45243
55446,816,0,12022,98566,56420,76131,63837,30518,74565,102309,9793,153265,0,83,40308,29189,71586,66348,15551,84300,44976,19188,30023,0,1479,62679,61775,74218,93482,30723,70898,72840,18042,25422,0,1176,51875,53986,70926,72627,41600,74016,59595
53834,794,0,11549,87762,48929,47925,51403,30552,53174,89804,10018,40720,0,60,22196,10162,40749,41851,14934,54948,17768,22142,12689,0,1358,37604,35287,48868,54187,30360,54590,33462,19517,11876,0,1167,31027,32288,48200,53582,42020,53189,28783
52321,759,0,11328,83946,72390,57101,66898,30146,52606,92129,8225,28696,0,79,30492,37328,71550,70268,14863,68067,32301,17248,10024,0,1450,45341,35440,66628,65382,30659,63762,49739,16302,9759,0,1134,35897,33424,57218,87359,42102,60668,40077
53478,919,0,11198,81047,53611,45172,72832,30055,61377,90929,27112,38945,0,64,29371,15315,90284,92514,15517,68371,27650,36481,11950,0,1303,49087,39721,62839,49708,30461,62534,49055,30207,11409,0,1104,40676,47450,60666,49969,41766,59540,40569
52309,1069,0,11056,77072,59385,52408,78114,30142,62256,89947,8467,38182,0,69,27729,20326,57217,78801,15963,64951,29162,17556,13681,0,1234,45414,47389,55131,62717,30914,64442,50057,17361,33692,0,1066,41173,38988,72943,77741,40962,61247,44389
53446,2025,0,10857,72713,52739,56616,49764,30403,60080,87193,32298,197532,0,46,31283,28493,66486,88984,16782,74287,32041,32587,31850,0,1190,47516,44444,73408,58015,31019,63801,48957,30807,14055,0,1034,40548,48422,60551,65274,41024,65526,42224
51492,1224,0,10500,67257,64996,44927,50022,30239,71639,83016,9009,54682,0,65,27775,16672,53270,91333,17399,70254,27559,18024,15294,0,1088,51817,49185,59735,68014,30933,65912,54186,17172,11628,0,941,42205,38415,61885,56960,39829,63085,42559
53874,1580,0,10278,65969,61111,46472,61842,30412,64278,83969,32315,78035,0,57,30404,16245,70246,53409,18613,67952,30610,41831,19491,0,1116,52233,39141,52232,60136,30564,66855,52281,34910,15600,0,913,43002,45138,57530,49356,40318,66059,44204
53293,4257,0,10181,69886,66385,74029,85844,31433,67596,92887,27583,205276,0,47,41170,31664,93046,82125,20284,71083,45750,33835,36953,0,949,59522,48214,77427,89887,30540,73598,65593,32733,47026,0,929,56633,53327,70390,103805,40261,74041,62164
48804,1779,0,9893,55133,46933,51004,53030,31017,55102,69421,10051,57050,0,45,16491,10381,39297,42089,21235,46876,12306,20199,16878,0,992,37495,34261,51618,55508,30958,57379,29524,18139,15203,0,882,34194,34613,47183,48182,39611,58054,27391
47559,2101,0,9939,56278,63225,87358,61849,31201,63783,77214,8066,68383,0,44,24641,26898,56768,71719,22970,48388,25187,15818,18986,0,960,42626,46264,66610,61543,31395,58405,44030,14367,18790,0,842,39037,44579,66352,56386,39294,64807,39951
51110,2526,0,9626,58230,54882,109945,78267,31489,64126,76060,21878,192655,0,54,23071,21221,40885,45481,25111,63980,23916,35445,39049,0,911,49433,45430,61781,59726,31249,56224,46881,27785,21193,0,820,43403,35547,53612,47025,38648,56978,41562
